"codigo","accion","version_origen","version_destino","id_destino","matriz","nota"
"E01A","sin cambios","1","1","ff694d78-a828-4720-98f4-3571922ac81c","",""
"E02A","sin cambios","1","1","47447e03-02d0-492e-b003-60718ae071f5","",""
"E03A","sin cambios","1","1","592193f3-13bb-4363-806c-1e9ae9ae297c","",""
"E03B","revisión","1","2","14f25963-9753-4858-ab3a-665d7148fce8","","inactiva: activar en el editor"
"E03BV","revisión","1","2","2ede6122-5c59-42a8-9b05-f2a35e8ed8c2","","inactiva: activar en el editor"
"E04A","sin cambios","1","1","2229159a-f7a8-4222-ad8a-8b57f3218f18","",""
"E04B","sin cambios","1","1","d0f8d6e3-0710-4e13-b73b-7235adbd4d6e","",""
"E04BV","revisión","1","2","ec3635e5-85df-43b3-835f-290bac07fdc3","","inactiva: activar en el editor"
"E05A","revisión","1","2","6668c631-9d52-4349-a002-822ab9a7cf29","","inactiva: activar en el editor"
"E05B","sin cambios","1","1","6da363f3-2527-48d6-bc56-7bded9bd09f7","",""
"E05BV","revisión","1","2","b24ec070-c70c-40da-8a76-635c93fafc3e","","inactiva: activar en el editor"
"E06A","revisión","1","2","0f31d910-ee1d-41cf-8056-2929cd8d35d8","","inactiva: activar en el editor"
"E06B","revisión","1","2","1b4e311e-0b18-40c9-8c29-7e7e41db4520","","inactiva: activar en el editor"
"E06BV","revisión","1","2","641f62f8-e93c-482c-8333-f836988b2f42","","inactiva: activar en el editor"
"E07A","sin cambios","1","1","8e39efe2-9d84-4757-8a5f-62cb0a96a84d","",""
"E07B","sin cambios","1","1","6ed0311e-d6df-41b1-a4cd-3d8f66036ef0","",""
"E08A","sin cambios","1","1","cb37532d-eddc-476b-83d5-7b74652b365e","",""
"E09A","sin cambios","1","1","40e2951c-daea-4dba-bec1-fddaaa52ed7e","",""
"E10A","sin cambios","1","1","eb141c25-63cd-431e-b776-947c4d3c4f6b","",""
"E10B","revisión","1","2","6b0ef885-8e51-4964-81d5-783ceeae48ee","","inactiva: activar en el editor"
"E11A","revisión","1","2","5c7c9803-1026-45da-8e22-245adc2db68a","","inactiva: activar en el editor"
"E11B","sin cambios","1","1","5fe13bab-56d3-48f4-b18a-fd6bc9b248d9","",""
