"codigo","accion","version_origen","version_destino","id_destino","matriz","nota"
"E01A","nueva","1","1","7948fda1-b19a-4702-8a53-db2e5f7488e0","2",""
"E02A","nueva","1","1","f1225433-51af-4f02-aeaf-f2250edddc91","7",""
"E03A","nueva","1","1","78a83e83-1a07-48fc-bbef-9870394c68f8","2",""
"E03B","nueva","1","1","0fb2ac0a-59b1-4f8f-9ea8-5c0e058d885f","2",""
"E03BV","nueva","1","1","6d8b1d49-f3a6-48b6-82af-b566b8e800c2","2",""
"E04A","nueva","1","1","b4b4e015-ec05-4fa0-a1cc-89cd81fd72a0","1",""
"E04B","nueva","1","1","ce312229-7308-4f46-b81c-f156eb0ff7e5","1",""
"E04BV","nueva","1","1","6375e23a-734e-40e1-9819-183ba902e14a","0",""
"E05A","nueva","1","1","7295200e-2ea9-4f3b-b0a6-65080b358ac0","0",""
"E05B","nueva","1","1","aa0159a3-f5ff-4f89-ab5b-943d8b61cf8a","1",""
"E05BV","nueva","1","1","ded6f496-1780-4b29-87b4-a6d5dfd4af78","0",""
"E06A","nueva","1","1","ee71c0a2-3012-43dc-8877-478d7a1c7186","0",""
"E06B","nueva","1","1","752718ed-5613-405e-b8ee-cc49d6abb7b0","1",""
"E06BV","nueva","1","1","09d32f08-cc9f-41e0-8bc4-2358dea7cd1b","0",""
"E07A","nueva","1","1","050adba1-4db1-43e1-a105-428d373416aa","1",""
"E07B","nueva","1","1","311399c0-8433-4ca2-b3db-b60ac939f106","1",""
"E08A","nueva","1","1","905efced-eea5-4b88-ad55-9c4dcbfa2e62","1",""
"E09A","nueva","1","1","e1aa6a0d-a715-4fe6-a179-69a6dfcb214c","1",""
"E10A","nueva","1","1","ad40937f-c0ee-47b8-be68-148e1ac1c53e","0",""
"E10B","nueva","1","1","2ecc49c2-9999-4c18-b1fa-57a662f988d5","1",""
"E11A","nueva","1","1","122b712d-6d13-469c-80a2-1ad10467d5a7","1",""
"E11B","nueva","1","1","47e721cb-9aa4-4520-b793-f21d1a20c827","1",""
"E12A","nueva","1","1","b700c91a-7cf0-4d1a-996d-ac77e8c4cded","0",""
"E13A","nueva","1","1","1312316d-7036-4616-9239-e944def673bb","4",""
"E13B","nueva","1","1","5ecde07a-b85f-444b-9adc-04748f504985","8",""
"E13C","nueva","1","1","f9620eaf-0f1b-403c-af0b-88ffe3f21465","4",""
