codigo,familia,tablas_cuerpo,campos_datos,items_chequeo,items_con_valor,tablas_matriz,equipo_prueba,nota_condicional,db_version,db_items,db_checkbox,db_otros,atencion,matriz_cabeceras,ejemplos_valor,tablas_sin_clasificar,otras_cabeceras
E01A,D,2,8,20,3,0,,,1,32,3,"measurement:7, number:3, text:4, yes_no:15",8 campos de datos; 3 ítems con valor,,8.0 Glands - Earth bonding  is correct and tested;     max 0.1 Ohm to grou || 10.0 Cores - Prior to termination - test and record insulation resistance v || 10.0a Acceptable limits:   25 megohms  minimum                              ,0,
E02A,DM,6,5,15,4,1,,sí,1,41,12,"measurement:20, number:3, text:6",1 matriz; 5 campos de datos; 4 ítems con valor; 1 tabla(s) sin clasificar,HI-POT TESTING – Leakage Current | Time Tiempo | Voltage | Leakage on Phase A Corriente fuga en fase A | Leakage on Phase B Corriente fuga en fase B | Leakage o,1.0 Continuity test on drum. Prueba de continuidad de los conductores || 11.0 Insulation Resistance test / Megger test. Record insulation resistance || 13.0 Record resistance of gland body to ground. Maximum 0.1Ω. Registrar la ,1,Final Testing
E03A,D,2,2,29,0,0,,,1,32,29,text:3,2 campos de datos,,,0,
E03B,DM,5,24,17,9,1,sí,,1,64,58,"select:1, text:5",1 matriz; 24 campos de datos; 9 ítems con valor; 1 tabla(s) sin clasificar,Minutes Minutos | Time (Actual) Tiempo (Actual) | Time Duration Tiempo de duración | Load  (%) Carga | Output (KW) Salida | Volt (V) Voltaje | Current (A) Corri,2.0 Shorting Rotating Diodes before following Tests are performed: Cortoci || 3.0 Alternator Test Results (Insulation Voltage):  Resultados prueba Alter || 3.1 Winding IR ( min 150 M ) Resistencia de Aislamiento (IR) del Bobinado ,1,Load Test Log Sheet:
E03BV,M,2,0,0,0,1,,,1,7,7,,en la base es solo casillas; 1 matriz; 1 tabla(s) sin clasificar; sin lista de chequeo reconocible,Tag No. | Tag Description | Check Sheet No. | Check Sheet Description | Protocol Test No.,,1,SUB-SYSTEM No
E04A,D,2,17,12,1,0,,,1,34,8,"measurement:4, number:9, text:13",17 campos de datos; 1 ítems con valor,,9.0 Measure insulation resistance with a Megohmeter at nominal tap positio,0,
E04B,D,3,11,13,3,0,sí,,1,43,43,,en la base es solo casillas; 11 campos de datos; 3 ítems con valor,,5.0 Remove Neutral and Grounding connection and perform Insulation resista || 7.0 Check the condition of grounding neutral connection and perform Contin || 13.0 Complete soaking time according to vendor instruction and confirm Site,0,
E04BV,M,2,0,0,0,1,,,1,7,7,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Tag No. | Tag Description | Highest Rated Power | Voltage Level | Serial No. | Protocol Test No.,,0,
E05A,D,2,10,7,0,0,,,1,17,17,,en la base es solo casillas; 10 campos de datos,,,0,
E05B,DM,5,9,8,1,1,sí,,1,31,31,,en la base es solo casillas; 1 matriz; 9 campos de datos; 1 ítems con valor; 1 tabla(s) sin clasificar,Phase Fase | R | S | T | Primary Current Corriente  Primaria,5.0 Insulation Resistance Test: Prueba de Resistencia de Aislamiento:  Sec,1,"8.0 | Ratio Test (to be combined With Relay Testing, If Required) Prueba de Relación de Transformación (para ser combina"
E05BV,M,1,0,0,0,1,,,1,4,4,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Tag No. | Cubicle No. | Ratio | Protocol Test No.,,0,
E06A,D,2,10,11,0,0,,,1,21,21,,en la base es solo casillas; 10 campos de datos,,,0,
E06B,D,2,10,29,11,0,,sí,1,40,40,,en la base es solo casillas; 10 campos de datos; 11 ítems con valor,,7.0 Insulation Resistance Tests: Pruebas de Resistencia de Aislamiento: || 7.1 Secondary Wiring at 500V DC:                                    MΩ Ais || 7.2 Secondary Wiring to (Primary Winding Earthed) at 500V DC: Devanado sec,0,
E06BV,M,1,0,0,0,1,,,1,5,5,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Tag No. | Voltage Transformer PRI | Ratio | Cubicle No. | Protocol Test No.,,0,
E07A,D,2,8,22,4,0,,sí,1,31,31,,en la base es solo casillas; 8 campos de datos; 4 ítems con valor,,5.0 Record vendor data of all CT's fitted on E32A Registrar los datos del  || 6.0 Record vendor data of all VT's fitted on E33A Registrar  los datos el  || 15.0 Confirm all protection and metering relays have been installed as per ,0,
E07B,D,3,6,20,2,0,sí,,1,39,39,,en la base es solo casillas; 6 campos de datos; 2 ítems con valor,,19.0 Insulation Resistance Tests - Bus-bar system. Prueba de Resistencia de || 20.0 Hi-Pot Tests - Bus bar system (Only for 38 KV Switchgear) Pruebas Hi-P,0,
E08A,D,2,6,25,1,0,,,1,33,33,,en la base es solo casillas; 6 campos de datos; 1 ítems con valor,,19.0 Perform Ducter tests across all accessible bolted bus joints. Record r,0,
E09A,D,2,6,24,1,0,,,1,32,32,,en la base es solo casillas; 6 campos de datos; 1 ítems con valor,,19.0 Perform Ducter tests across all accessible bolted bus joints. Record r,0,
E10A,DM,3,6,19,1,1,,,1,27,27,,en la base es solo casillas; 1 matriz; 6 campos de datos; 1 ítems con valor,R-Y | Y-B | B-E | R-B | Y-N | N-E,"7.0 Prior to termination of circuits to panel, perform insulation resistan",0,
E10B,DM,5,5,19,4,2,sí,,1,58,58,,en la base es solo casillas; 2 matriz; 5 campos de datos; 4 ítems con valor,Receptacle Circuit number | Verify Tag number label is correct | Insulation Resistance to Earth [MΩ] | Polarity | Verify Voltage level [V] | Verify fuse/MCB acc || Lighting Circuit number | Verify Tag number label is correct | Insulation Re,10.0 Perform point to point test):  Realizar prueba de continuidad en el ta || 14.0 Using a clip-on ammeter record full load current. Utilizando una pinza || 17.0 Remove Neutral and Grounding connection and perform Insulation resista,0,
E11A,C,4,0,10,0,0,,,1,18,18,,2 tabla(s) sin clasificar; conteo distinto: original 10 / base 18,,,2,Distribution board Ref: Referencia del tablero de distribución | Circuit Ref: Referencia de circuito || Tag No. | Description
E11B,M,4,0,5,5,1,sí,,1,32,32,,en la base es solo casillas; 1 matriz; 5 ítems con valor; 1 tabla(s) sin clasificar,Hazardous Area Classification: Clasificación de área peligrosa: | Rated Voltage:                                                     Volts Voltaje: | Rated Curr,1.0 Check and record insulation resistance of circuit to earth (Use 250 Vo || 2.0 Check and record voltage at end of circuit:  Verificar y registrar niv || 3.0 Check and record circuit current:  Verificar y registrar corriente del,1,CIRCUIT DEVICES DETAILS: DETALLES DE LOS DISPOSITIVOS DE LOS CIRCUITOS:
E12A,D,3,17,19,0,0,,,1,39,39,,en la base es solo casillas; 17 campos de datos; 1 tabla(s) sin clasificar,,,1,List of components in the circuit
E13A,C+V,2,0,31,7,0,,sí,1,36,36,,en la base es solo casillas; 7 ítems con valor; 1 tabla(s) sin clasificar,,"6.0 Disconnect motor and heater, check insulation resistance Desconectar e ||  < 1 KV ||  < 4.6 KV",1,Distribution board Ref: Referencia del tablero de distribución | Circuit Ref: Referencia de circuito
E13B,DM,4,18,25,8,1,sí,,1,78,78,,en la base es solo casillas; 1 matriz; 18 campos de datos; 8 ítems con valor,Time (Minutes) Tiempo (Minutos) | 0 | 5 | 10 | 20 | 30 | 60 | 90,9.0 Perform continuity Test on both control wiring remote and local contro || 10.0 Test and record Motor Insulation Resistance (phase to earth). Prueba y || 12.0 Test insulation resistance of space heaters. Prueba de Resistencia de ,0,
E13C,D,4,20,13,3,0,sí,,1,91,91,,en la base es solo casillas; 20 campos de datos; 3 ítems con valor,,6.0 Test and record Motor Insulation Resistance (phase to earth). Prueba y || 12.0 Perform load run test for a minimum period until temperature readings  || 13.0 Check and record vibration parameters on the motor (fan and coupled si,0,
E14-1B,DM,4,5,11,5,1,sí,,1,46,46,,en la base es solo casillas; 1 matriz; 5 campos de datos; 5 ítems con valor,BATTERY BANK TEST RESULTS RESULTADOS DE PRUEBA BANCO DE BATERIAS | Battery Type: Tipo de Batería: | No. of Cells No. de Celdas: | Capacity: Capacidad:,"2.0 In accordance with the relevant Pre-Commissioning procedure, connect l || 3.0 Demonstrate automatic discharge test and record discharge current:     || 6.0 Record discharge current and cell voltages at regular intervals in the",0,
E14-2B,D,3,10,33,6,0,sí,,1,65,65,,en la base es solo casillas; 10 campos de datos; 6 ítems con valor,,"7.0 Perform IR tests on Main A/C Circuit Breakers (Note:- disconnect all e || 10.0 Energise Battery Charger, confirm output polarity and record the follo || 10.1 Float Charge Rate:                                                    ",0,
E14A,D,3,10,36,3,0,,sí,1,49,49,,en la base es solo casillas; 10 campos de datos; 3 ítems con valor,,9.0 Confirm cable protective measures (kick plates) are installed. Confirm || 11.0 Test earth continuity resistance from main earthing point to the final || 12.0 Ducter test across all tape joints. Record results in remarks  Maximum,0,
E15A,D,2,14,15,3,0,,,1,29,29,,en la base es solo casillas; 14 campos de datos; 3 ítems con valor,,1.12 Test continuity of heating element Prueba de continuidad del elemento  || 1.13 Test and record earth tape continuity to JB.  Max. 0.01 ohms Probar y  || 1.14 Measure insulation resistance:   Medida de resistencia de aislamiento:,0,
E15B,DM,4,6,10,2,1,sí,sí,1,40,40,,en la base es solo casillas; 1 matriz; 6 campos de datos; 2 ítems con valor,MCB Rating Corriente nominal del MCB | RCCD Rating Corriente nominal de RCCD | Post cladding IR Resistencia de aislamiento  (IR) | Element Continuity Continuida,3.0 Test insulation resistance to earth. Heat trace cable only. Probar Res || 10.0 Connect RCCD tester at circuit extremities and confirm RCCD trip times,0,
E16A,D,2,6,15,2,0,,,1,21,21,,en la base es solo casillas; 6 campos de datos; 2 ítems con valor,,10.0 Perform and record insulation resistance of the Anti-Condensation Heat || 12.0 Perform and record insulation resistance of the Electric Heater by app,0,
E17A,D,2,9,13,2,0,,sí,1,23,23,,en la base es solo casillas; 9 campos de datos; 2 ítems con valor,,1.9 Disconnect all equipment which may be damaged and perform insulation r || 1.10 Where applicable perform and confirm continuity checks on windings. Re,0,
E17B,D,3,5,9,0,0,sí,,1,27,27,,en la base es solo casillas; 5 campos de datos,,,0,
E18A,D,2,2,11,2,0,,,1,14,14,,en la base es solo casillas; 2 campos de datos; 2 ítems con valor,,7.0 Measure cold resistance of resistor between neutral terminal and groun || 8.0 Perform and record insulation resistance between terminals & ground fo,0,
E18B,D,3,7,12,9,0,sí,,1,32,32,,en la base es solo casillas; 7 campos de datos; 9 ítems con valor,,3.0 Check insulation resistance of resistor. Verificar la resistencia de a || 4.0 For reactors of earthing systems check insulation resistance of second || 6.0 Check and record resistance from star point connection to  Earth: Veri,0,
E19A,D,4,9,26,4,0,,sí,1,40,40,,en la base es solo casillas; 9 campos de datos; 4 ítems con valor; 1 tabla(s) sin clasificar,,10.0 Perform insulation resistance tests on anti cond. Heater. Minimum 10 M || 9.0 Confirm cable protective measures (kick plates) are installed Confirma || 11.0 Test earth continuity resistance from main earthing point to the final,1,WIRING CHECKS
E20A,D,2,8,17,1,0,,,1,27,27,,en la base es solo casillas; 8 campos de datos; 1 ítems con valor,,15.0 Perform wiring continuity checks and confirm wiring diagram. Realizar ,0,
E20B,D,4,10,24,2,0,sí,,1,62,62,,en la base es solo casillas; 10 campos de datos; 2 ítems con valor,,1.0 Current Transformers: Transformadores de corriente: || 2.4 Perform Insulation resistance test at 1 kV on VT windings (min value 1,0,
E20BV,M,1,0,0,0,1,,,1,4,4,,en la base es solo casillas; 1 matriz; sin lista de chequeo reconocible,Tag No. | Relay Type | Cubicle No. | Protocol Test No.,,0,
E21A,D,2,5,9,0,0,,,1,14,14,,en la base es solo casillas; 5 campos de datos,,,0,
