"codigo","v_activa","v2_id","v2_version","items","fotos","sin_traduccion","equipo_prueba","avisos"
"E11A","1","","","10","3","0","","base 18 ítems / original 10; 2 tabla(s) del original sin clasificar (no es lista pura)"
"E34A","1","","","5","1","0","","base 10 ítems / original 5; 1 tabla(s) del original sin clasificar (no es lista pura)"
"E39A","1","","","15","6","0","",""
"E40A","1","","","8","1","0","",""
"E41A","1","","","11","5","0","","base 19 ítems / original 11; 2 tabla(s) del original sin clasificar (no es lista pura)"
"H01A","1","","","14","8","0","",""
"H02A","1","","","18","8","0","",""
"H03A","1","","","12","3","0","",""
"H04A","1","","","14","6","0","",""
"H04B","1","","","4","1","0","",""
"H05A","1","","","9","6","0","",""
"H05B","1","","","9","0","0","",""
"H06A","1","","","10","3","0","",""
"H07A","1","","","13","6","0","",""
"H08A","1","","","15","5","0","",""
"H09A","1","","","7","5","0","",""
"H10A","1","","","17","9","0","",""
"H11A","1","","","5","2","0","",""
"H12A","1","","","12","9","0","",""
"H13A","1","","","16","8","0","",""
"H14A","1","","","10","5","0","",""
"H15A","1","","","17","10","0","",""
"H21C","1","","","16","2","0","",""
"H50b","","","","","","","","sin plantilla activa"
"I03B","1","","","5","3","0","",""
"I04A","2","","","8","4","0","","base 11 ítems / original 8"
"I04B","1","","","7","2","0","",""
"I06A","2","","","17","10","0","","base 19 ítems / original 17"
"I08A","1","","","6","4","0","",""
"I09A","1","","","10","3","0","sí","base 23 ítems / original 10"
"I11B","1","","","7","3","0","","base 26 ítems / original 7; 3 tabla(s) del original sin clasificar (no es lista pura)"
"I12A","1","","","10","6","0","",""
"I12B","1","","","21","9","0","",""
"I14B","1","","","7","0","0","",""
"I16A","1","","","7","3","0","","1 ítems tipo dato/matriz (no es lista pura): 1.0"
"I18A","1","","","3","1","0","",""
"I21C","1","","","3","0","0","","base 20 ítems / original 3; 3 filas de matriz embebida en la lista (no es lista pura)"
"I26B","1","","","7","3","0","sí","base 27 ítems / original 7"
"I34B","1","","","8","3","0","sí","base 31 ítems / original 8; 1 tabla(s) del original sin clasificar (no es lista pura)"
"I45C","1","","","9","0","0","",""
"L01A","1","","","18","2","0","",""
"L02A","1","","","16","4","0","",""
"L03A","1","","","13","4","0","",""
"L04A","1","","","20","4","0","",""
"L04B","1","","","8","1","0","",""
"L06A","1","","","16","5","0","",""
"L07A","1","","","10","3","0","",""
"L08A","1","","","15","4","0","",""
"L08B","1","","","9","0","0","",""
"L08C","1","","","9","1","0","",""
"M01A","1","","","8","4","0","",""
"M06A","1","","","16","4","0","",""
"M07A","1","","","20","7","0","",""
"M08A","1","","","16","3","0","",""
"M09A","1","","","12","6","0","",""
"M09B-2","1","","","21","9","0","",""
"M11A","1","","","6","2","0","",""
"M13A","1","","","18","10","0","",""
"M14A","1","","","12","3","0","",""
"M15A","1","","","14","4","0","",""
"M16A","1","","","12","6","0","",""
"M17A","1","","","11","4","0","",""
"M17C","1","","","8","3","0","",""
"M18C","1","","","21","5","0","",""
"M19A","1","","","5","2","0","",""
"M20A","1","","","20","7","0","",""
"M21A","1","","","14","7","0","",""
"M21B","1","","","14","5","0","",""
"M22A","1","","","14","4","0","","base 15 ítems / original 14"
"M23A","1","","","12","6","0","",""
"M25A","1","","","28","9","0","",""
"M26A","1","","","13","5","0","",""
"M26C","1","","","15","5","0","",""
"M27A","1","","","14","5","0","",""
"M28A","1","","","12","2","0","",""
"M29A","1","","","6","1","0","",""
"M30A","1","","","15","6","0","",""
"M31A","1","","","21","7","0","",""
"M32A","1","","","13","3","0","",""
"M36A","1","","","14","6","0","",""
"M40A","1","","","14","6","0","",""
"M41A","1","","","35","10","0","",""
"M41B","1","","","59","8","0","",""
"M42B","1","","","25","3","0","","base 27 ítems / original 25"
"M50C","1","","","16","0","0","",""
"M51C","1","","","15","1","0","","1 ítems tipo dato/matriz (no es lista pura): 3.0"
"M53B","1","","","22","5","0","",""
"M55C","1","","","13","1","0","","1 ítems tipo dato/matriz (no es lista pura): 3.0"
"M56B","1","","","33","3","0","",""
"M62B","1","","","6","3","0","",""
"M65B","1","","","16","3","0","",""
"M65C","1","","","7","0","0","",""
"P02A","1","","","15","7","0","",""
"P11A","1","","","14","6","0","",""
"P14B","1","","","26","6","0","","base 27 ítems / original 26"
"P18B","1","","","6","0","0","",""
"Q01A","1","","","44","9","0","",""
"Q03A","1","","","35","9","0","",""
"Q05A","1","","","12","3","0","",""
"Q06A","1","","","10","1","0","","1 ítems tipo dato/matriz (no es lista pura): 1.0"
"T01A","1","","","11","5","0","",""
"T04A","1","","","8","5","0","",""
"T05A","1","","","12","6","0","",""
"T06A","1","","","14","6","0","",""
"T10A","1","","","19","8","0","",""
"T10C","1","","","7","0","0","",""
"T11A","1","","","19","10","0","",""
"T12A","1","","","15","8","0","",""
"T13C","1","","","3","0","0","",""
"T14C","1","","","4","0","0","",""
"X02A","1","","","12","0","0","","base 13 ítems / original 12"
