"codigo","v_activa","v2_id","v2_version","items","fotos","sin_traduccion","equipo_prueba","avisos"
"E13A","1","","","17","8","1","","1 campos de registro (N-R); 1 sin traducción ES; base 36 ítems / original 17; 11 filas de matriz embebida en la lista (no es lista pura); 1 tabla(s) del original sin clasificar (no es lista pura)"
"E35A","1","","","18","3","0","","1 campos de registro (N-R); 4 ítems como texto (dato o libre); base 53 ítems / original 18; 2 filas de matriz embebida en la lista (no es lista pura)"
"H02B","1","","","15","1","1","","1 ítems como texto (dato o libre); 1 sin traducción ES; base 18 ítems / original 15; 3 filas de matriz embebida en la lista (no es lista pura)"
"H02C","1","","","15","1","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre); base 18 ítems / original 15; 3 filas de matriz embebida en la lista (no es lista pura)"
"H03B","1","","","9","3","0","","1 ítems como texto (dato o libre)"
"H03C","1","","","8","2","0","","1 ítems como texto (dato o libre)"
"H16A","1","","","19","0","0","","15 ítems como texto (dato o libre)"
"H17B","1","","","11","0","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre)"
"I02A","1","","","6","5","0","","1 campos de registro (N-R); base 11 ítems / original 6; 1 tabla(s) del original sin clasificar (no es lista pura)"
"I07A","1","","","17","9","0","","1 campos de registro (N-R)"
"I17A","1","","","6","1","0","","3 ítems como texto (dato o libre)"
"I31C","1","","","9","2","0","","1 ítems como texto (dato o libre)"
"I33C","1","","","6","0","1","","5 ítems como texto (dato o libre); 1 sin traducción ES; base 28 ítems / original 6"
"I43B","1","","","9","3","0","sí","1 ítems como texto (dato o libre); base 14 ítems / original 9"
"L05C","1","","","8","0","0","","base 9 ítems / original 8"
"L10B","1","","","8","3","0","","1 ítems como texto (dato o libre)"
"M01C","1","","","14","1","0","","2 ítems como texto (dato o libre)"
"M02A","1","","","10","5","0","","1 campos de registro (N-R); base 11 ítems / original 10"
"M03A","1","","","12","3","0","","1 ítems como texto (dato o libre)"
"M03B","1","","","14","6","0","","2 ítems como texto (dato o libre)"
"M04A","1","","","9","1","0","","1 ítems como texto (dato o libre)"
