"codigo","v_activa","v2_id","v2_version","items","fotos","sin_traduccion","equipo_prueba","avisos"
"E01A","1","df50cf83-3d3b-4822-b2bd-a8e4fe093450","2","20","8","2","","3 campos de registro (N-R); 2 sin traducción ES; base 32 ítems / original 20; 8 campos de datos (D.n)"
"E03A","1","d86e6fc6-9af5-41f0-9a63-aee76cd3d27a","2","29","15","0","","base 32 ítems / original 29; 3 campos de datos (D.n)"
"E04A","1","","","9","5","0","","1 campos de registro (N-R); base 34 ítems / original 9; 3 filas de matriz embebida en la lista (no es lista pura); 16 campos de datos (D.n); 2 datos del tag no duplicados; NO GENERADO: revisar a mano"
"E04B","1","5fcdafa0-573c-4912-a018-edf92684aa0b","2","13","4","0","","3 campos de registro (N-R); base 43 ítems / original 13; 15 campos de datos (D.n); 2 datos del tag no duplicados"
"E05A","1","e7c10fef-0cba-4470-aed4-a2b29448e40c","2","7","5","0","","base 17 ítems / original 7; 8 campos de datos (D.n); 2 datos del tag no duplicados"
"E06A","1","77467143-e598-4a84-9819-aa233d1064c5","2","11","6","0","","base 21 ítems / original 11; 8 campos de datos (D.n); 2 datos del tag no duplicados"
"E06B","1","","","19","6","0","","3 campos de registro (N-R); 2 ítems como texto (dato o libre); base 40 ítems / original 19; 10 filas de matriz embebida en la lista (no es lista pura); 9 campos de datos (D.n); 1 datos del tag no duplicados; NO GENERADO: revisar a mano"
"E07A","1","783d33b7-199e-412c-ba1a-708e7981628c","2","22","11","0","","4 campos de registro (N-R); base 31 ítems / original 22; 6 campos de datos (D.n); 3 datos del tag no duplicados"
"E07B","1","b599d101-d9a2-4855-b335-e2820d846cdb","2","20","1","0","","2 campos de registro (N-R); base 39 ítems / original 20; 6 campos de datos (D.n)"
"E08A","1","f3e6b655-1e1e-4875-a13c-31156e3b50c3","2","25","9","0","","1 campos de registro (N-R); base 33 ítems / original 25; 6 campos de datos (D.n); 2 datos del tag no duplicados"
"E09A","1","fbc76b65-dac0-40cb-89ff-86be3c518909","2","24","8","0","","1 campos de registro (N-R); base 32 ítems / original 24; 6 campos de datos (D.n); 2 datos del tag no duplicados"
"E12A","1","","","19","11","0","","base 39 ítems / original 19; 1 tabla(s) del original sin clasificar (no es lista pura); 15 campos de datos (D.n); 2 datos del tag no duplicados; NO GENERADO: revisar a mano"
"E13C","1","dafea747-3647-4616-a840-a63837974ed6","2","13","1","0","","2 campos de registro (N-R); 2 ítems como texto (dato o libre); base 91 ítems / original 13; 55 campos de datos (D.n); 2 datos del tag no duplicados"
"E14-2B","1","","","32","5","0","","1 campos de registro (N-R); 4 ítems como texto (dato o libre); base 65 ítems / original 32; 1 filas de matriz embebida en la lista (no es lista pura); 8 campos de datos (D.n); 2 datos del tag no duplicados; NO GENERADO: revisar a mano"
"E14A","1","8c26c896-708a-4f90-bc83-5ffa81ecbe92","2","36","18","0","","2 campos de registro (N-R); 1 ítems como texto (dato o libre); base 49 ítems / original 36; 10 campos de datos (D.n)"
"E15A","1","8242680d-266e-44bf-9849-37e7414edf62","2","15","9","0","","2 campos de registro (N-R); 1 ítems como texto (dato o libre); base 29 ítems / original 15; 12 campos de datos (D.n); 2 datos del tag no duplicados"
"E16A","1","114f0b3e-ee62-410f-90f5-e53a1837acf1","2","15","9","0","","2 campos de registro (N-R); base 21 ítems / original 15; 5 campos de datos (D.n); 1 datos del tag no duplicados"
"E17A","1","7c2e48bf-6747-400b-a750-5d3603446a13","2","13","7","0","","2 campos de registro (N-R); base 23 ítems / original 13; 8 campos de datos (D.n); 2 datos del tag no duplicados"
"E17B","1","5505e4c8-7272-4c99-84b8-a31aea1921f3","2","9","0","0","","base 27 ítems / original 9; 5 campos de datos (D.n)"
"E18A","1","99a5eeed-25b8-4b55-ab04-c69def942984","2","11","7","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre); base 14 ítems / original 11; 2 campos de datos (D.n); 1 datos del tag no duplicados"
