"codigo","v_activa","v2_id","v2_version","items","fotos","sin_traduccion","equipo_prueba","avisos"
"E02A","1","2ab80654-ca02-41c1-b38d-293911dcb12a","2","15","8","0","","4 campos de registro (N-R); base 41 ítems / original 15; 6 filas de matriz embebida en la lista (revisar); 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 11 campos de datos (D.n); 1 matriz(es) como tabla (M.n); bloque de texto omitido: «Final Testing»"
"E03B","","","","","","","","ERROR new row for relation ""itr_template_items"" violates check constraint ""itr_template_items_table_config_valid"""
"E05B","1","4e3c3d53-3c81-4d57-b940-5285799cbc18","2","8","3","0","","1 ítems como texto (dato o libre); base 31 ítems / original 8; 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 8 campos de datos (D.n); 1 matriz(es) como tabla (M.n); 1 datos del tag no duplicados"
"E10A","1","4d7709e7-7bb1-4c46-874a-6b7f2bcd2bbe","2","19","10","0","","1 campos de registro (N-R); base 27 ítems / original 19; 6 campos de datos (D.n); 1 matriz(es) como tabla (M.n); 2 datos del tag no duplicados"
"E10B","1","7fbb4721-2726-4242-8e18-4e7b21fe5894","2","19","4","0","","3 campos de registro (N-R); 2 ítems como texto (dato o libre); base 58 ítems / original 19; 5 campos de datos (D.n); 2 matriz(es) como tabla (M.n)"
"E13B","1","efc89002-7c85-4ade-9c84-0fc0c7691bf1","2","25","3","0","","6 campos de registro (N-R); 3 ítems como texto (dato o libre); base 78 ítems / original 25; 16 campos de datos (D.n); 1 matriz(es) como tabla (M.n); 2 datos del tag no duplicados"
"E14-1B","1","99af3b04-199b-4724-9b0b-49edb3049d8d","2","11","0","0","","3 campos de registro (N-R); 1 ítems como texto (dato o libre); base 46 ítems / original 11; 4 campos de datos (D.n); 1 matriz(es) como tabla (M.n); 1 datos del tag no duplicados"
"E15B","1","d36f9720-72f6-40c8-ad0f-dfa81c44fa3e","2","10","6","0","","2 campos de registro (N-R); base 40 ítems / original 10; 19 campos de datos (D.n); 1 matriz(es) como tabla (M.n); 1 datos del tag no duplicados"
"E22A","1","3f9e7ca3-4880-4bcf-847b-5cf2b02577bd","2","10","7","0","","3 campos de registro (N-R); base 20 ítems / original 10; 1 filas de matriz embebida en la lista (revisar); 2 campos de datos (D.n); 1 matriz(es) como tabla (M.n); 1 datos del tag no duplicados"
"E26A","1","1fcdb814-84c3-4dc9-99da-7c2d3a64ee97","2","15","7","0","sí","1 campos de registro (N-R); 1 ítems como texto (dato o libre); base 43 ítems / original 15; 1 filas de matriz embebida en la lista (revisar); 5 campos de datos (D.n); 3 matriz(es) como tabla (M.n); 1 datos del tag no duplicados"
"E38A","1","7bfcd7df-f1f4-4353-8105-de5750c5c6b1","2","8","3","0","","2 campos de registro (N-R); 1 ítems como texto (dato o libre); base 18 ítems / original 8; 27 campos de datos (D.n); 1 matriz(es) como tabla (M.n); bloque de texto omitido: «Datos de Cable»; 2 datos del tag no duplicados"
"I10A","","","","","","","","revisión manual (Fase 1); no se genera"
"I11A","1","0d92c319-b01c-47f7-aaca-b5a440a031aa","2","37","6","0","sí","20 ítems como texto (dato o libre); base 66 ítems / original 37; 2 campos de datos (D.n); 2 matriz(es) como tabla (M.n); 5 datos del tag no duplicados"
"L05A","1","90be3267-9bd6-433c-8c3d-9abe58d9d6da","2","5","1","0","","base 27 ítems / original 5; 23 campos de datos (D.n); 1 matriz(es) como tabla (M.n)"
"M09C","1","","","24","3","0","","4 campos de registro (N-R); base 147 ítems / original 24; 9 campos de datos (D.n); 1 matriz(es) como tabla (M.n); matriz 1 no representable (17 columnas, 11 filas): diseño manual; 1 datos del tag no duplicados; NO GENERADO: revisar a mano"
"M23C","1","74e20686-c846-436b-98b6-4d05ab4a6111","2","16","2","0","","2 campos de registro (N-R); base 130 ítems / original 16; 9 campos de datos (D.n); 2 matriz(es) como tabla (M.n); 1 datos del tag no duplicados"
