"codigo","v_activa","v2_id","v2_version","items","fotos","sin_traduccion","equipo_prueba","avisos"
"E11B","1","4e756c44-2bfc-46fd-97d8-6d889fa5cbd7","2","5","3","0","","3 campos de registro (N-R); 2 ítems como texto (dato o libre); base 32 ítems / original 5; 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 1 matriz(es) como tabla (M.n)"
"E36A","1","","","37","16","1","","1 campos de registro (N-R); 1 ítems como texto (dato o libre); 1 sin traducción ES; base 48 ítems / original 37; sin matriz reconocida (no es familia M); NO GENERADO: revisar a mano"
"I05A","1","dc904dca-07cf-4839-8389-838323911874","2","10","6","0","sí","base 52 ítems / original 10; 2 matriz(es) como tabla (M.n)"
"I27B","1","086e43bb-3bf7-4d48-b918-f9c6cb15f6f4","2","7","3","0","sí","base 28 ítems / original 7; 1 matriz(es) como tabla (M.n)"
"I29C","1","2c2b1e48-ad01-43da-9ac6-47c5fc5447ed","2","6","0","0","sí","1 ítems como texto (dato o libre); base 82 ítems / original 6; 1 matriz(es) como tabla (M.n)"
"I42B","1","3544d7e4-c85b-488d-a0b1-a2bc5b8c4dbc","2","8","4","0","sí","base 26 ítems / original 8; 2 matriz(es) como tabla (M.n)"
"M10C","1","7f9afdbb-17b8-4aaf-96bc-a806e58f2c2f","2","10","2","0","","2 campos de registro (N-R); 1 ítems como texto (dato o libre); base 54 ítems / original 10; 1 matriz(es) como tabla (M.n)"
"M54C","1","024a4a8b-ad36-4446-ba09-ea836952245b","2","6","0","0","","2 ítems como texto (dato o libre); base 22 ítems / original 6; 1 matriz(es) como tabla (M.n)"
"M59C","1","8a1871e4-8420-4a59-afce-0f3b3d27fbc8","2","15","2","0","","2 campos de registro (N-R); base 59 ítems / original 15; 1 matriz(es) como tabla (M.n)"
"P16B","1","be373ad0-ce1f-482e-b810-aa3a981fc9f1","2","13","4","0","","1 campos de registro (N-R); 1 ítems como texto (dato o libre); base 22 ítems / original 13; 1 matriz(es) como tabla (M.n)"
"P17B","1","a46b6ca0-767c-42f4-96b7-75678f016516","2","6","1","0","","2 ítems como texto (dato o libre); base 17 ítems / original 6; 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 1 matriz(es) como tabla (M.n)"
"T01C","1","2a847049-ee56-43e0-b79b-74afb2b72eb9","2","3","0","0","","base 10 ítems / original 3; 1 filas de matriz embebida en la lista (revisar); 1 matriz(es) como tabla (M.n)"
"T04C","1","5d46b75a-bc77-44d1-89e1-063a83e77fc9","2","3","0","0","","base 10 ítems / original 3; 1 filas de matriz embebida en la lista (revisar); 1 matriz(es) como tabla (M.n)"
"T05C","1","171a60a9-d71d-45d0-a82f-7d85b5e14d54","2","3","0","0","","base 10 ítems / original 3; 1 filas de matriz embebida en la lista (revisar); 1 matriz(es) como tabla (M.n)"
"T06C","1","3ca7e89c-ca42-4cb8-9964-0825fda0d844","2","3","0","0","","base 13 ítems / original 3; 1 filas de matriz embebida en la lista (revisar); 1 matriz(es) como tabla (M.n)"
