"codigo","v_activa","v2_id","v2_version","items","fotos","sin_traduccion","equipo_prueba","avisos"
"E03BV","1","5b3ad3bb-f4a3-4451-a5a0-1471ebaac213","2","0","0","0","","base 7 ítems / original 0; sin lista de chequeo (solo matriz); 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 1 matriz(es) como tabla (M.n)"
"E04BV","1","4e7d49b0-9eba-41a4-bddd-b36e747575a2","2","0","0","0","","base 7 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"E05BV","1","b82b058d-ae7b-4a06-86fd-e20299304af2","2","0","0","0","","base 4 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"E06BV","1","71ac125d-14c2-403e-a25e-e6ebe381c9dc","2","0","0","0","","base 5 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"E20BV","1","44311e72-5e37-4929-afb3-1d1ebc0f7f48","2","0","0","0","","base 4 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"E21BV","1","bc39099b-7dd6-4ceb-9dfc-2b3e5f120770","2","0","0","0","","base 4 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"E29A","1","110f8e8c-6638-42fc-936c-1670b3180d08","2","0","0","0","","base 26 ítems / original 0; sin lista de chequeo (solo matriz); 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 1 matriz(es) como tabla (M.n)"
"E32A","1","35012a93-01f8-433e-a4b6-522e50acbbc1","2","0","0","0","","base 13 ítems / original 0; sin lista de chequeo (solo matriz); 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 1 matriz(es) como tabla (M.n)"
"E49BV","1","515fd3be-3f36-45a6-9752-0c623975d023","2","0","0","0","","base 47 ítems / original 0; sin lista de chequeo (solo matriz); 8 matriz(es) como tabla (M.n)"
"E49BV-1","1","772c673f-5645-46fa-886b-ebd9b7399e96","2","0","0","0","","base 207 ítems / original 0; sin lista de chequeo (solo matriz); 28 matriz(es) como tabla (M.n)"
"E52BV","1","85deea1a-6d2f-4c03-933e-bd15c494a6b0","2","0","0","0","","base 35 ítems / original 0; sin lista de chequeo (solo matriz); 6 matriz(es) como tabla (M.n)"
"H15B","1","807f7a6d-3e82-46b7-a1bd-45dee1d070e4","2","0","0","0","","base 8 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"H18B","1","63b3b9c2-2a11-4821-9abb-e48aa221863d","2","0","0","0","","base 13 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"H20C","1","d14b4c82-e3fb-47b0-82eb-3588cd89c94a","2","0","0","0","","base 8 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"M06B","1","c9134fa0-86e9-439a-a0fc-1dac08434435","2","0","0","0","","base 27 ítems / original 0; sin lista de chequeo (solo matriz); 1 matriz(es) como tabla (M.n)"
"P01A","1","e9d8808a-be40-49f1-87d5-d850aa22071d","2","0","0","0","","base 12 ítems / original 0; sin lista de chequeo (solo matriz); 1 tabla(s) del original sin clasificar (revisar que la matriz/datos las cubra); 2 matriz(es) como tabla (M.n)"
