"codigo","v_activa","v2_id","v2_version","items","selecciones","fotos","documentos","tablas","nota"
"I02A","1","96ee9c44-03eb-4b72-ae66-a6a94425ba63","2","15","9","3","0","1","Mediciones con calibrador como datos (D.1–D.3) y espesores como tabla (D.4); el marcado de la placa se desglosa en 1.1–1.4; el criterio de espesor conserva el 0,001·DN del original sujeto a la especificación del proyecto."
"I11B","1","2c90bab9-c356-416d-8200-d8c576c87d70","2","27","9","4","1","1","Prueba de operación como registros M.1–M.9 (presiones, tiempos, límites de carrera, posiciones de falla) más M.10 de conformidad con el diseño; impedancia de bobinas como tabla 8.0-R; equipo de prueba T.1–T.5."
"I16A","1","0b02051b-0f70-4083-a54d-6d9b12841a8f","2","10","6","2","0","0","El P&ID y el rango se verifican contra los datos del tag (sin duplicar); número de línea y rango leído en carátula como registro."
"I21C","1","c32173bb-ee8b-4485-bb4f-cca7b0f2a659","2","9","3","0","1","1","Sistema remoto como dato (D.1–D.2), listado de señales como tabla M.1 (tag local, tipo, objeto remoto, lectura/escritura/gráfico/alarma) y el listado de variables como documento adjunto en 3.0."
"I33C","1","1defd712-4c78-4b69-a048-a3cd7c55b3a4","2","13","5","0","1","3","Rangos como datos (D.1–D.2), verificación de calibración por 9 puntos ascenso/descenso como tabla M.1 (salida DCS vs. posición real), alarmas y disparos como tabla M.2, equipo de prueba múltiple como tabla T.1 con certificados adjuntos en T.2."
"I34B","1","80c44c8e-c8e4-4754-87ed-06b23855cd0d","2","24","9","4","2","1","Prueba de operación local/remota como tabla M.1 (abrir/parar/cerrar × local/remoto), tiempos, límites de carrera, interruptor de torque y posición de falla como registros M.2–M.8; hoja de calibración adjunta en 8.0; equipo de prueba T.1–T.5."
"E04A","1","b9186bf8-9c3c-461d-8929-204fefa5f873","2","31","9","4","1","1","Datos de placa y planos como D.1–D.14 (fabricante, modelo y serie vienen del tag); resistencia de aislamiento AT/BT/tierra como tabla M.1 con tensión de prueba y lectura a 1 min; equipo de prueba T.1–T.5 añadido por tratarse de un ensayo con megóhmetro."
"E06B","1","8bcd93a8-fcec-46ec-ba42-f8de5846304d","2","35","9","3","2","5","Datos del VT como D.1–D.8 (serie del tag); aislamiento secundario, primario y tensiones tras energizar como tablas por pares de fases (M.1–M.4); polaridad por batería como tabla R/S/T; relé de baja tensión como tabla drop-off / pick-up (M.6) con ítem de conformidad 12.3."
"E11A","1","5e2be605-0a5c-48c1-8bbc-1ba710b58668","2","18","10","4","0","1","Datos del circuito como D.1–D.5 (uso como selección); lista de componentes del circuito como tabla M.1 (tag y descripción)."
"E12A","1","8573298c-9bea-4418-bbff-fe1499063f86","2","34","17","8","0","1","Datos del circuito como D.1–D.14 (fabricante, tipo y serie del tag); chequeos generales 1.1–1.14 y de tierra 2.1–2.3 como selecciones; lista de componentes como tabla M.1."
