Codigo_fuente,Archivo_original,Fase_inferida,Estado_documentado,Correspondencia_CommUp_confirmada,Revision_tecnica,Captura_probada,PDF_revisado,Revision_publicada,Observaciones
E01A,A Sheets/E01A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E02A,A Sheets/E02A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E03A,A Sheets/E03A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E04A,A Sheets/E04A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E05A,A Sheets/E05A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E06A,A Sheets/E06A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E07A,A Sheets/E07A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E08A,A Sheets/E08A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E09A,A Sheets/E09A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E10A,A Sheets/E10A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E11A,A Sheets/E11A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E12A,A Sheets/E12A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E13A,A Sheets/E13A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
E14A,A Sheets/E14A.doc,A,Mapeo preliminar; pendiente de contraste y edición,,,,,,Completar con evidencia; no marcar como validado por estar publicado
